,x,y,Set,Image,Point
0,57,327,val,160,0
1,74,328,val,160,1
2,89,330,val,160,2
3,103,331,val,160,3
4,116,332,val,160,4
5,131,331,val,160,5
6,147,330,val,160,6
7,168,330,val,160,7
8,188,330,val,160,8
9,206,327,val,160,9
10,220,326,val,160,10
11,236,331,val,160,11
12,253,335,val,160,12
13,268,336,val,160,13
14,282,335,val,160,14
15,297,336,val,160,15
16,313,334,val,160,16
17,327,331,val,160,17
18,58,312,val,160,18
19,74,309,val,160,19
20,90,314,val,160,20
21,105,317,val,160,21
22,120,317,val,160,22
23,135,317,val,160,23
24,151,315,val,160,24
25,173,313,val,160,25
26,192,314,val,160,26
27,205,314,val,160,27
28,223,312,val,160,28
29,237,320,val,160,29
30,253,319,val,160,30
31,268,318,val,160,31
32,282,316,val,160,32
33,299,315,val,160,33
34,316,313,val,160,34
35,330,313,val,160,35
36,57,297,val,160,36
37,89,300,val,160,38
38,106,304,val,160,39
39,122,303,val,160,40
40,139,301,val,160,41
41,154,300,val,160,42
42,175,299,val,160,43
43,191,303,val,160,44
44,204,297,val,160,45
45,221,297,val,160,46
46,237,305,val,160,47
47,255,305,val,160,48
48,269,303,val,160,49
49,284,300,val,160,50
50,298,299,val,160,51
51,314,297,val,160,52
52,330,297,val,160,53
53,105,289,val,160,57
54,122,288,val,160,58
55,140,287,val,160,59
56,155,287,val,160,60
57,173,287,val,160,61
58,189,290,val,160,62
59,204,286,val,160,63
60,220,286,val,160,64
61,237,292,val,160,65
62,255,289,val,160,66
63,271,287,val,160,67
64,283,285,val,160,68
65,298,283,val,160,69
66,312,280,val,160,70
67,330,280,val,160,71
68,57,281,val,160,72
69,73,277,val,160,73
70,89,276,val,160,74
71,105,275,val,160,75
72,123,274,val,160,76
73,139,275,val,160,77
74,154,276,val,160,78
75,172,276,val,160,79
76,189,277,val,160,80
77,205,274,val,160,81
78,219,274,val,160,82
79,236,279,val,160,83
80,254,276,val,160,84
81,270,274,val,160,85
82,284,270,val,160,86
83,299,269,val,160,87
84,313,267,val,160,88
85,328,266,val,160,89
86,56,264,val,160,90
87,72,262,val,160,91
88,89,263,val,160,92
89,105,262,val,160,93
90,123,263,val,160,94
91,140,263,val,160,95
92,155,262,val,160,96
93,173,264,val,160,97
94,188,265,val,160,98
95,204,255,val,160,99
96,220,258,val,160,100
97,236,264,val,160,101
98,254,260,val,160,102
99,268,259,val,160,103
100,284,256,val,160,104
101,298,254,val,160,105
102,312,252,val,160,106
103,328,250,val,160,107
104,56,248,val,160,108
105,72,248,val,160,109
106,89,248,val,160,110
107,106,250,val,160,111
108,122,253,val,160,112
109,138,250,val,160,113
110,155,248,val,160,114
111,173,247,val,160,115
112,188,247,val,160,116
113,218,239,val,160,118
114,236,246,val,160,119
115,255,246,val,160,120
116,268,243,val,160,121
117,282,241,val,160,122
118,298,240,val,160,123
119,312,237,val,160,124
120,327,235,val,160,125
121,57,234,val,160,126
122,72,234,val,160,127
123,91,235,val,160,128
124,106,235,val,160,129
125,123,234,val,160,130
126,139,230,val,160,131
127,156,230,val,160,132
128,173,230,val,160,133
129,188,230,val,160,134
130,235,225,val,160,137
131,253,226,val,160,138
132,267,228,val,160,139
133,283,229,val,160,140
134,298,227,val,160,141
135,312,222,val,160,142
136,329,220,val,160,143
137,56,211,val,160,144
138,73,210,val,160,145
139,91,211,val,160,146
140,107,211,val,160,147
141,124,213,val,160,148
142,139,211,val,160,149
143,156,209,val,160,150
144,172,210,val,160,151
145,190,206,val,160,152
146,218,204,val,160,154
147,234,205,val,160,155
148,251,207,val,160,156
149,267,209,val,160,157
150,281,209,val,160,158
151,296,209,val,160,159
152,311,207,val,160,160
153,327,206,val,160,161
154,57,193,val,160,162
155,73,192,val,160,163
156,90,193,val,160,164
157,107,193,val,160,165
158,124,192,val,160,166
159,140,192,val,160,167
160,157,192,val,160,168
161,174,190,val,160,169
162,191,184,val,160,170
163,219,184,val,160,172
164,233,185,val,160,173
165,251,185,val,160,174
166,265,189,val,160,175
167,279,190,val,160,176
168,294,191,val,160,177
169,311,190,val,160,178
170,327,188,val,160,179
171,56,177,val,160,180
172,73,176,val,160,181
173,91,175,val,160,182
174,107,175,val,160,183
175,124,175,val,160,184
176,140,174,val,160,185
177,157,174,val,160,186
178,173,172,val,160,187
179,219,166,val,160,190
180,234,166,val,160,191
181,251,168,val,160,192
182,263,169,val,160,193
183,278,169,val,160,194
184,294,170,val,160,195
185,309,171,val,160,196
186,327,171,val,160,197
187,56,159,val,160,198
188,73,158,val,160,199
189,91,158,val,160,200
190,107,157,val,160,201
191,123,155,val,160,202
192,139,154,val,160,203
193,155,154,val,160,204
194,171,153,val,160,205
195,217,150,val,160,208
196,233,148,val,160,209
197,251,150,val,160,210
198,263,152,val,160,211
199,279,152,val,160,212
200,293,154,val,160,213
201,310,153,val,160,214
202,325,154,val,160,215
203,56,137,val,160,216
204,72,135,val,160,217
205,88,136,val,160,218
206,105,135,val,160,219
207,122,135,val,160,220
208,138,137,val,160,221
209,155,137,val,160,222
210,171,137,val,160,223
211,215,134,val,160,226
212,232,133,val,160,227
213,250,134,val,160,228
214,262,135,val,160,229
215,279,135,val,160,230
216,293,135,val,160,231
217,309,136,val,160,232
218,325,137,val,160,233
219,55,116,val,160,234
220,71,116,val,160,235
221,88,119,val,160,236
222,105,119,val,160,237
223,120,118,val,160,238
224,136,120,val,160,239
225,153,121,val,160,240
226,169,119,val,160,241
227,214,122,val,160,244
228,232,119,val,160,245
229,249,118,val,160,246
230,262,117,val,160,247
231,277,117,val,160,248
232,292,117,val,160,249
233,308,118,val,160,250
234,325,120,val,160,251
235,53,102,val,160,252
236,70,101,val,160,253
237,87,102,val,160,254
238,104,103,val,160,255
239,120,105,val,160,256
240,137,106,val,160,257
241,153,107,val,160,258
242,169,105,val,160,259
243,214,109,val,160,262
244,233,106,val,160,263
245,248,104,val,160,264
246,262,104,val,160,265
247,278,104,val,160,266
248,291,103,val,160,267
249,306,102,val,160,268
250,324,101,val,160,269
251,54,85,val,160,270
252,69,85,val,160,271
253,87,86,val,160,272
254,103,86,val,160,273
255,119,87,val,160,274
256,135,89,val,160,275
257,151,90,val,160,276
258,166,87,val,160,277
259,213,96,val,160,280
260,233,92,val,160,281
261,247,90,val,160,282
262,263,90,val,160,283
263,277,90,val,160,284
264,291,89,val,160,285
265,306,88,val,160,286
266,321,86,val,160,287
267,55,73,val,160,288
268,68,69,val,160,289
269,86,71,val,160,290
270,101,72,val,160,291
271,117,72,val,160,292
272,133,72,val,160,293
273,148,74,val,160,294
274,211,77,val,160,298
275,232,77,val,160,299
276,246,71,val,160,300
277,260,75,val,160,301
278,275,75,val,160,302
279,290,73,val,160,303
280,304,73,val,160,304
281,320,72,val,160,305
282,54,56,val,160,306
283,84,58,val,160,308
284,99,57,val,160,309
285,114,57,val,160,310
286,129,56,val,160,311
287,145,58,val,160,312
288,207,58,val,160,316
289,229,58,val,160,317
290,258,57,val,160,319
291,274,58,val,160,320
292,287,57,val,160,321
293,303,56,val,160,322
294,317,56,val,160,323
295,57,325,val,161,0
296,73,329,val,161,1
297,88,330,val,161,2
298,105,331,val,161,3
299,118,330,val,161,4
300,135,331,val,161,5
301,150,330,val,161,6
302,171,330,val,161,7
303,192,330,val,161,8
304,209,329,val,161,9
305,223,328,val,161,10
306,237,331,val,161,11
307,254,335,val,161,12
308,269,336,val,161,13
309,282,335,val,161,14
310,298,336,val,161,15
311,312,334,val,161,16
312,327,332,val,161,17
313,58,309,val,161,18
314,74,309,val,161,19
315,90,314,val,161,20
316,105,317,val,161,21
317,121,318,val,161,22
318,138,317,val,161,23
319,154,315,val,161,24
320,176,315,val,161,25
321,195,314,val,161,26
322,207,315,val,161,27
323,223,314,val,161,28
324,237,320,val,161,29
325,254,319,val,161,30
326,269,318,val,161,31
327,282,318,val,161,32
328,297,316,val,161,33
329,314,315,val,161,34
330,329,313,val,161,35
331,58,294,val,161,36
332,90,299,val,161,38
333,105,302,val,161,39
334,122,301,val,161,40
335,139,300,val,161,41
336,157,299,val,161,42
337,177,299,val,161,43
338,193,302,val,161,44
339,205,299,val,161,45
340,221,300,val,161,46
341,238,306,val,161,47
342,255,305,val,161,48
343,269,305,val,161,49
344,282,302,val,161,50
345,298,300,val,161,51
346,314,299,val,161,52
347,328,299,val,161,53
348,104,286,val,161,57
349,121,285,val,161,58
350,140,284,val,161,59
351,156,284,val,161,60
352,175,286,val,161,61
353,189,290,val,161,62
354,204,285,val,161,63
355,220,288,val,161,64
356,238,293,val,161,65
357,255,291,val,161,66
358,270,288,val,161,67
359,282,288,val,161,68
360,297,287,val,161,69
361,312,284,val,161,70
362,328,283,val,161,71
363,58,278,val,161,72
364,72,273,val,161,73
365,88,270,val,161,74
366,105,268,val,161,75
367,121,268,val,161,76
368,139,272,val,161,77
369,155,275,val,161,78
370,172,274,val,161,79
371,189,274,val,161,80
372,205,274,val,161,81
373,220,275,val,161,82
374,236,280,val,161,83
375,255,277,val,161,84
376,270,274,val,161,85
377,283,273,val,161,86
378,298,273,val,161,87
379,312,270,val,161,88
380,326,269,val,161,89
381,57,257,val,161,90
382,72,257,val,161,91
383,90,256,val,161,92
384,105,256,val,161,93
385,123,256,val,161,94
386,140,258,val,161,95
387,155,262,val,161,96
388,172,262,val,161,97
389,189,262,val,161,98
390,205,255,val,161,99
391,219,261,val,161,100
392,236,264,val,161,101
393,254,263,val,161,102
394,268,260,val,161,103
395,283,260,val,161,104
396,299,257,val,161,105
397,312,255,val,161,106
398,328,255,val,161,107
399,57,240,val,161,108
400,71,240,val,161,109
401,90,240,val,161,110
402,106,243,val,161,111
403,122,247,val,161,112
404,139,247,val,161,113
405,156,247,val,161,114
406,173,246,val,161,115
407,189,245,val,161,116
408,219,240,val,161,118
409,235,248,val,161,119
410,255,248,val,161,120
411,268,245,val,161,121
412,282,244,val,161,122
413,298,243,val,161,123
414,313,242,val,161,124
415,328,241,val,161,125
416,57,228,val,161,126
417,72,227,val,161,127
418,90,228,val,161,128
419,105,230,val,161,129
420,123,230,val,161,130
421,139,230,val,161,131
422,156,230,val,161,132
423,173,230,val,161,133
424,190,229,val,161,134
425,234,228,val,161,137
426,252,229,val,161,138
427,267,230,val,161,139
428,283,232,val,161,140
429,298,230,val,161,141
430,312,227,val,161,142
431,329,224,val,161,143
432,56,204,val,161,144
433,73,205,val,161,145
434,91,206,val,161,146
435,106,209,val,161,147
436,123,211,val,161,148
437,138,212,val,161,149
438,156,211,val,161,150
439,173,210,val,161,151
440,191,209,val,161,152
441,219,208,val,161,154
442,234,207,val,161,155
443,251,209,val,161,156
444,267,211,val,161,157
445,281,211,val,161,158
446,297,211,val,161,159
447,313,211,val,161,160
448,328,211,val,161,161
449,57,189,val,161,162
450,72,190,val,161,163
451,90,191,val,161,164
452,107,193,val,161,165
453,123,194,val,161,166
454,140,194,val,161,167
455,157,194,val,161,168
456,174,191,val,161,169
457,191,186,val,161,170
458,220,187,val,161,172
459,234,187,val,161,173
460,251,187,val,161,174
461,264,189,val,161,175
462,279,192,val,161,176
463,295,194,val,161,177
464,311,193,val,161,178
465,328,193,val,161,179
466,56,175,val,161,180
467,74,174,val,161,181
468,91,174,val,161,182
469,107,176,val,161,183
470,123,176,val,161,184
471,140,177,val,161,185
472,157,176,val,161,186
473,173,172,val,161,187
474,219,168,val,161,190
475,235,167,val,161,191
476,251,168,val,161,192
477,264,171,val,161,193
478,277,171,val,161,194
479,294,173,val,161,195
480,310,173,val,161,196
481,327,175,val,161,197
482,57,159,val,161,198
483,73,158,val,161,199
484,90,158,val,161,200
485,107,158,val,161,201
486,122,158,val,161,202
487,140,157,val,161,203
488,156,156,val,161,204
489,172,155,val,161,205
490,218,151,val,161,208
491,234,149,val,161,209
492,251,149,val,161,210
493,263,151,val,161,211
494,278,152,val,161,212
495,294,154,val,161,213
496,310,155,val,161,214
497,326,156,val,161,215
498,56,138,val,161,216
499,71,135,val,161,217
500,88,135,val,161,218
501,106,137,val,161,219
502,122,137,val,161,220
503,138,140,val,161,221
504,156,141,val,161,222
505,172,140,val,161,223
506,217,136,val,161,226
507,233,134,val,161,227
508,250,134,val,161,228
509,263,134,val,161,229
510,278,134,val,161,230
511,293,134,val,161,231
512,309,136,val,161,232
513,325,136,val,161,233
514,55,116,val,161,234
515,72,117,val,161,235
516,88,118,val,161,236
517,104,120,val,161,237
518,121,120,val,161,238
519,138,123,val,161,239
520,155,124,val,161,240
521,171,125,val,161,241
522,216,124,val,161,244
523,232,120,val,161,245
524,248,120,val,161,246
525,260,118,val,161,247
526,277,117,val,161,248
527,293,117,val,161,249
528,309,117,val,161,250
529,324,119,val,161,251
530,53,101,val,161,252
531,70,100,val,161,253
532,87,101,val,161,254
533,104,102,val,161,255
534,120,105,val,161,256
535,137,107,val,161,257
536,155,108,val,161,258
537,170,107,val,161,259
538,214,111,val,161,262
539,232,107,val,161,263
540,246,105,val,161,264
541,261,104,val,161,265
542,277,105,val,161,266
543,292,104,val,161,267
544,306,102,val,161,268
545,324,103,val,161,269
546,55,85,val,161,270
547,70,83,val,161,271
548,87,84,val,161,272
549,104,86,val,161,273
550,119,87,val,161,274
551,136,90,val,161,275
552,153,91,val,161,276
553,167,89,val,161,277
554,211,95,val,161,280
555,230,92,val,161,281
556,245,89,val,161,282
557,262,90,val,161,283
558,275,91,val,161,284
559,291,90,val,161,285
560,307,90,val,161,286
561,322,88,val,161,287
562,54,68,val,161,288
563,69,66,val,161,289
564,86,72,val,161,290
565,102,72,val,161,291
566,119,73,val,161,292
567,134,74,val,161,293
568,151,75,val,161,294
569,165,69,val,161,295
570,211,78,val,161,298
571,229,77,val,161,299
572,243,72,val,161,300
573,259,76,val,161,301
574,274,76,val,161,302
575,289,75,val,161,303
576,305,73,val,161,304
577,321,71,val,161,305
578,55,58,val,161,306
579,83,56,val,161,308
580,100,55,val,161,309
581,117,58,val,161,310
582,132,58,val,161,311
583,147,57,val,161,312
584,206,60,val,161,316
585,227,59,val,161,317
586,257,56,val,161,319
587,272,58,val,161,320
588,288,58,val,161,321
589,303,55,val,161,322
590,317,54,val,161,323
591,55,324,val,162,0
592,72,328,val,162,1
593,89,328,val,162,2
594,103,330,val,162,3
595,118,331,val,162,4
596,131,331,val,162,5
597,149,332,val,162,6
598,170,332,val,162,7
599,191,333,val,162,8
600,209,329,val,162,9
601,223,327,val,162,10
602,235,332,val,162,11
603,252,335,val,162,12
604,267,336,val,162,13
605,281,335,val,162,14
606,296,337,val,162,15
607,313,334,val,162,16
608,327,332,val,162,17
609,56,307,val,162,18
610,73,308,val,162,19
611,89,311,val,162,20
612,105,315,val,162,21
613,121,316,val,162,22
614,136,316,val,162,23
615,153,316,val,162,24
616,177,315,val,162,25
617,195,314,val,162,26
618,207,315,val,162,27
619,223,314,val,162,28
620,236,319,val,162,29
621,252,318,val,162,30
622,266,317,val,162,31
623,281,318,val,162,32
624,296,316,val,162,33
625,313,315,val,162,34
626,329,314,val,162,35
627,56,291,val,162,36
628,89,298,val,162,38
629,106,301,val,162,39
630,123,300,val,162,40
631,140,299,val,162,41
632,155,299,val,162,42
633,178,299,val,162,43
634,194,303,val,162,44
635,205,299,val,162,45
636,220,299,val,162,46
637,236,304,val,162,47
638,253,304,val,162,48
639,268,303,val,162,49
640,281,302,val,162,50
641,297,301,val,162,51
642,314,299,val,162,52
643,328,298,val,162,53
644,106,285,val,162,57
645,123,285,val,162,58
646,140,284,val,162,59
647,156,285,val,162,60
648,175,288,val,162,61
649,189,290,val,162,62
650,204,286,val,162,63
651,219,287,val,162,64
652,234,291,val,162,65
653,252,290,val,162,66
654,268,286,val,162,67
655,282,286,val,162,68
656,296,285,val,162,69
657,312,283,val,162,70
658,327,282,val,162,71
659,57,276,val,162,72
660,73,272,val,162,73
661,88,270,val,162,74
662,105,270,val,162,75
663,123,269,val,162,76
664,140,273,val,162,77
665,155,275,val,162,78
666,172,275,val,162,79
667,188,273,val,162,80
668,204,275,val,162,81
669,219,274,val,162,82
670,234,278,val,162,83
671,253,274,val,162,84
672,268,272,val,162,85
673,281,271,val,162,86
674,296,272,val,162,87
675,312,269,val,162,88
676,327,268,val,162,89
677,57,258,val,162,90
678,72,257,val,162,91
679,89,258,val,162,92
680,105,258,val,162,93
681,123,260,val,162,94
682,140,260,val,162,95
683,156,262,val,162,96
684,173,262,val,162,97
685,189,261,val,162,98
686,204,256,val,162,99
687,219,259,val,162,100
688,234,262,val,162,101
689,251,259,val,162,102
690,267,258,val,162,103
691,282,257,val,162,104
692,296,256,val,162,105
693,312,254,val,162,106
694,327,252,val,162,107
695,55,242,val,162,108
696,72,242,val,162,109
697,90,243,val,162,110
698,106,245,val,162,111
699,122,248,val,162,112
700,140,247,val,162,113
701,156,246,val,162,114
702,173,245,val,162,115
703,189,241,val,162,116
704,204,236,val,162,117
705,218,237,val,162,118
706,233,244,val,162,119
707,252,243,val,162,120
708,266,242,val,162,121
709,282,241,val,162,122
710,296,241,val,162,123
711,312,240,val,162,124
712,327,238,val,162,125
713,57,229,val,162,126
714,73,229,val,162,127
715,91,231,val,162,128
716,105,229,val,162,129
717,123,229,val,162,130
718,140,228,val,162,131
719,156,228,val,162,132
720,173,228,val,162,133
721,189,223,val,162,134
722,218,220,val,162,136
723,233,223,val,162,137
724,250,224,val,162,138
725,266,226,val,162,139
726,281,226,val,162,140
727,296,227,val,162,141
728,312,225,val,162,142
729,328,221,val,162,143
730,57,208,val,162,144
731,74,208,val,162,145
732,91,207,val,162,146
733,107,208,val,162,147
734,124,210,val,162,148
735,139,209,val,162,149
736,156,210,val,162,150
737,173,209,val,162,151
738,190,204,val,162,152
739,218,202,val,162,154
740,233,202,val,162,155
741,250,207,val,162,156
742,264,208,val,162,157
743,279,207,val,162,158
744,296,209,val,162,159
745,312,209,val,162,160
746,328,207,val,162,161
747,57,192,val,162,162
748,73,192,val,162,163
749,90,191,val,162,164
750,107,191,val,162,165
751,125,193,val,162,166
752,140,192,val,162,167
753,157,192,val,162,168
754,174,190,val,162,169
755,191,185,val,162,170
756,219,182,val,162,172
757,233,185,val,162,173
758,249,185,val,162,174
759,263,187,val,162,175
760,278,189,val,162,176
761,294,190,val,162,177
762,310,190,val,162,178
763,328,190,val,162,179
764,56,177,val,162,180
765,73,176,val,162,181
