,x,y,Set,Image,Point,Type
0,86,330,val,12,2,warped
1,103,331,val,12,3,warped
2,119,330,val,12,4,warped
3,136,331,val,12,5,warped
4,152,332,val,12,6,warped
5,169,330,val,12,7,warped
6,186,331,val,12,8,warped
7,201,330,val,12,9,warped
8,235,330,val,12,11,warped
9,250,329,val,12,12,warped
10,266,329,val,12,13,warped
11,282,329,val,12,14,warped
12,297,327,val,12,15,warped
13,313,329,val,12,16,warped
14,328,327,val,12,17,warped
15,70,314,val,12,19,warped
16,103,314,val,12,21,warped
17,119,315,val,12,22,warped
18,136,313,val,12,23,warped
19,152,314,val,12,24,warped
20,169,313,val,12,25,warped
21,186,315,val,12,26,warped
22,201,316,val,12,27,warped
23,217,317,val,12,28,warped
24,234,315,val,12,29,warped
25,250,313,val,12,30,warped
26,265,313,val,12,31,warped
27,282,312,val,12,32,warped
28,312,310,val,12,34,warped
29,328,310,val,12,35,warped
30,54,298,val,12,36,warped
31,70,297,val,12,37,warped
32,87,299,val,12,38,warped
33,104,298,val,12,39,warped
34,119,297,val,12,40,warped
35,135,298,val,12,41,warped
36,152,298,val,12,42,warped
37,168,299,val,12,43,warped
38,185,299,val,12,44,warped
39,201,299,val,12,45,warped
40,218,301,val,12,46,warped
41,234,300,val,12,47,warped
42,250,297,val,12,48,warped
43,267,296,val,12,49,warped
44,282,296,val,12,50,warped
45,298,296,val,12,51,warped
46,312,295,val,12,52,warped
47,53,281,val,12,54,warped
48,70,282,val,12,55,warped
49,87,282,val,12,56,warped
50,102,282,val,12,57,warped
51,118,281,val,12,58,warped
52,135,281,val,12,59,warped
53,152,280,val,12,60,warped
54,169,283,val,12,61,warped
55,185,283,val,12,62,warped
56,202,286,val,12,63,warped
57,219,286,val,12,64,warped
58,235,285,val,12,65,warped
59,250,283,val,12,66,warped
60,267,281,val,12,67,warped
61,282,281,val,12,68,warped
62,298,280,val,12,69,warped
63,313,279,val,12,70,warped
64,329,279,val,12,71,warped
65,54,266,val,12,72,warped
66,71,265,val,12,73,warped
67,86,266,val,12,74,warped
68,102,265,val,12,75,warped
69,119,264,val,12,76,warped
70,136,265,val,12,77,warped
71,152,265,val,12,78,warped
72,169,267,val,12,79,warped
73,186,266,val,12,80,warped
74,201,268,val,12,81,warped
75,218,269,val,12,82,warped
76,235,267,val,12,83,warped
77,251,267,val,12,84,warped
78,266,266,val,12,85,warped
79,282,265,val,12,86,warped
80,298,265,val,12,87,warped
81,313,264,val,12,88,warped
82,329,262,val,12,89,warped
83,54,249,val,12,90,warped
84,70,249,val,12,91,warped
85,86,249,val,12,92,warped
