,x,y,Set,Image,Point,Type
0,56,335,val,160,0,warped
1,73,334,val,160,1,warped
2,87,333,val,160,2,warped
3,106,333,val,160,3,warped
4,117,331,val,160,4,warped
5,129,331,val,160,5,warped
6,133,330,val,160,6,warped
7,149,331,val,160,7,warped
8,172,332,val,160,8,warped
9,195,317,val,160,9,warped
10,220,312,val,160,10,warped
11,243,322,val,160,11,warped
12,270,333,val,160,12,warped
13,304,331,val,160,13,warped
14,308,329,val,160,14,warped
15,314,331,val,160,15,warped
16,324,329,val,160,16,warped
17,337,325,val,160,17,warped
18,58,317,val,160,18,warped
19,72,311,val,160,19,warped
20,87,313,val,160,20,warped
21,104,315,val,160,21,warped
22,119,313,val,160,22,warped
23,131,312,val,160,23,warped
24,135,310,val,160,24,warped
25,154,308,val,160,25,warped
26,174,306,val,160,26,warped
27,197,293,val,160,27,warped
28,225,291,val,160,28,warped
29,246,303,val,160,29,warped
30,282,304,val,160,30,warped
31,309,308,val,160,31,warped
32,302,310,val,160,32,warped
33,311,306,val,160,33,warped
34,324,302,val,160,34,warped
35,338,301,val,160,35,warped
36,55,302,val,160,36,warped
37,87,299,val,160,38,warped
38,102,299,val,160,39,warped
39,118,296,val,160,40,warped
40,129,294,val,160,41,warped
41,136,293,val,160,42,warped
42,153,291,val,160,43,warped
43,173,288,val,160,44,warped
44,200,271,val,160,45,warped
45,223,268,val,160,46,warped
46,248,285,val,160,47,warped
47,283,285,val,160,48,warped
48,310,285,val,160,49,warped
49,295,287,val,160,50,warped
50,306,284,val,160,51,warped
51,319,283,val,160,52,warped
52,336,281,val,160,53,warped
53,100,282,val,160,57,warped
54,117,278,val,160,58,warped
55,129,277,val,160,59,warped
56,135,277,val,160,60,warped
57,156,272,val,160,61,warped
58,177,270,val,160,62,warped
59,200,256,val,160,63,warped
60,223,254,val,160,64,warped
61,248,268,val,160,65,warped
62,286,269,val,160,66,warped
63,310,268,val,160,67,warped
64,292,269,val,160,68,warped
65,304,267,val,160,69,warped
66,318,266,val,160,70,warped
67,333,270,val,160,71,warped
68,56,279,val,160,72,warped
69,73,270,val,160,73,warped
70,88,268,val,160,74,warped
71,103,266,val,160,75,warped
72,118,262,val,160,76,warped
73,129,261,val,160,77,warped
74,136,260,val,160,78,warped
75,156,255,val,160,79,warped
76,179,256,val,160,80,warped
77,203,246,val,160,81,warped
78,223,240,val,160,82,warped
79,249,250,val,160,83,warped
80,289,254,val,160,84,warped
81,305,253,val,160,85,warped
82,287,256,val,160,86,warped
83,299,257,val,160,87,warped
84,316,260,val,160,88,warped
85,333,262,val,160,89,warped
86,56,258,val,160,90,warped
87,73,256,val,160,91,warped
88,88,253,val,160,92,warped
89,103,250,val,160,93,warped
90,117,247,val,160,94,warped
91,128,246,val,160,95,warped
92,137,247,val,160,96,warped
93,157,246,val,160,97,warped
94,180,245,val,160,98,warped
95,205,232,val,160,99,warped
96,226,237,val,160,100,warped
97,250,240,val,160,101,warped
98,289,243,val,160,102,warped
99,292,243,val,160,103,warped
100,286,247,val,160,104,warped
101,302,248,val,160,105,warped
102,315,252,val,160,106,warped
103,333,256,val,160,107,warped
104,54,239,val,160,108,warped
105,71,238,val,160,109,warped
106,89,236,val,160,110,warped
107,103,236,val,160,111,warped
108,117,235,val,160,112,warped
109,129,234,val,160,113,warped
110,142,233,val,160,114,warped
111,160,231,val,160,115,warped
112,183,229,val,160,116,warped
113,226,220,val,160,118,warped
114,257,231,val,160,119,warped
115,292,240,val,160,120,warped
116,292,232,val,160,121,warped
117,288,235,val,160,122,warped
118,300,235,val,160,123,warped
119,313,241,val,160,124,warped
120,333,247,val,160,125,warped
121,55,226,val,160,126,warped
122,71,222,val,160,127,warped
123,89,220,val,160,128,warped
124,102,218,val,160,129,warped
125,118,218,val,160,130,warped
126,130,216,val,160,131,warped
127,143,215,val,160,132,warped
128,162,212,val,160,133,warped
129,186,207,val,160,134,warped
130,258,211,val,160,137,warped
131,293,217,val,160,138,warped
132,287,227,val,160,139,warped
133,285,240,val,160,140,warped
134,296,227,val,160,141,warped
135,313,230,val,160,142,warped
136,328,237,val,160,143,warped
137,54,202,val,160,144,warped
138,71,200,val,160,145,warped
139,89,199,val,160,146,warped
