,x,y,Set,Image,Point,Type
0,57,328,val,160,0,warped
1,73,326,val,160,1,warped
2,89,328,val,160,2,warped
3,105,328,val,160,3,warped
4,122,329,val,160,4,warped
5,137,329,val,160,5,warped
6,153,329,val,160,6,warped
7,168,328,val,160,7,warped
8,179,329,val,160,8,warped
9,200,326,val,160,9,warped
10,226,325,val,160,10,warped
11,242,326,val,160,11,warped
12,248,327,val,160,12,warped
13,261,328,val,160,13,warped
14,278,329,val,160,14,warped
15,294,328,val,160,15,warped
16,311,328,val,160,16,warped
17,327,327,val,160,17,warped
18,56,313,val,160,18,warped
19,73,307,val,160,19,warped
20,89,311,val,160,20,warped
21,105,312,val,160,21,warped
22,122,312,val,160,22,warped
23,137,311,val,160,23,warped
24,152,311,val,160,24,warped
25,167,312,val,160,25,warped
26,181,311,val,160,26,warped
27,201,310,val,160,27,warped
28,223,305,val,160,28,warped
29,242,310,val,160,29,warped
30,247,310,val,160,30,warped
31,261,310,val,160,31,warped
32,278,311,val,160,32,warped
33,295,310,val,160,33,warped
34,312,309,val,160,34,warped
35,328,308,val,160,35,warped
36,56,298,val,160,36,warped
37,90,296,val,160,38,warped
38,105,296,val,160,39,warped
39,121,295,val,160,40,warped
40,137,296,val,160,41,warped
41,151,294,val,160,42,warped
42,167,296,val,160,43,warped
43,182,296,val,160,44,warped
44,197,290,val,160,45,warped
45,215,285,val,160,46,warped
46,241,296,val,160,47,warped
47,247,294,val,160,48,warped
48,261,293,val,160,49,warped
49,279,294,val,160,50,warped
50,296,293,val,160,51,warped
51,312,292,val,160,52,warped
52,328,291,val,160,53,warped
53,105,282,val,160,57,warped
54,121,281,val,160,58,warped
55,136,280,val,160,59,warped
56,151,279,val,160,60,warped
57,166,279,val,160,61,warped
58,178,281,val,160,62,warped
59,193,272,val,160,63,warped
60,215,270,val,160,64,warped
61,235,279,val,160,65,warped
62,247,277,val,160,66,warped
63,262,276,val,160,67,warped
64,279,276,val,160,68,warped
65,296,276,val,160,69,warped
66,313,274,val,160,70,warped
67,328,273,val,160,71,warped
68,57,277,val,160,72,warped
69,74,270,val,160,73,warped
70,88,268,val,160,74,warped
71,105,266,val,160,75,warped
72,120,264,val,160,76,warped
73,136,263,val,160,77,warped
74,152,263,val,160,78,warped
75,166,263,val,160,79,warped
76,175,266,val,160,80,warped
77,195,257,val,160,81,warped
78,214,255,val,160,82,warped
79,232,262,val,160,83,warped
80,247,260,val,160,84,warped
81,263,260,val,160,85,warped
82,280,259,val,160,86,warped
83,296,259,val,160,87,warped
84,312,258,val,160,88,warped
85,328,256,val,160,89,warped
86,58,254,val,160,90,warped
87,73,253,val,160,91,warped
88,88,251,val,160,92,warped
89,104,249,val,160,93,warped
90,120,247,val,160,94,warped
91,136,248,val,160,95,warped
92,151,247,val,160,96,warped
93,165,248,val,160,97,warped
94,176,249,val,160,98,warped
95,198,242,val,160,99,warped
96,215,240,val,160,100,warped
97,231,246,val,160,101,warped
98,246,245,val,160,102,warped
99,263,243,val,160,103,warped
100,279,243,val,160,104,warped
101,296,243,val,160,105,warped
102,311,243,val,160,106,warped
103,327,242,val,160,107,warped
104,57,240,val,160,108,warped
105,73,238,val,160,109,warped
106,88,235,val,160,110,warped
107,104,234,val,160,111,warped
108,120,234,val,160,112,warped
109,136,233,val,160,113,warped
110,151,233,val,160,114,warped
111,165,234,val,160,115,warped
112,178,232,val,160,116,warped
113,218,225,val,160,118,warped
114,230,231,val,160,119,warped
115,245,231,val,160,120,warped
116,262,228,val,160,121,warped
117,279,228,val,160,122,warped
118,295,227,val,160,123,warped
119,311,227,val,160,124,warped
120,326,225,val,160,125,warped
121,57,222,val,160,126,warped
122,73,223,val,160,127,warped
123,88,221,val,160,128,warped
124,103,221,val,160,129,warped
125,119,219,val,160,130,warped
126,136,217,val,160,131,warped
127,152,218,val,160,132,warped
128,162,213,val,160,133,warped
129,178,211,val,160,134,warped
130,232,216,val,160,137,warped
131,246,216,val,160,138,warped
132,262,215,val,160,139,warped
133,280,214,val,160,140,warped
134,295,212,val,160,141,warped
135,311,211,val,160,142,warped
136,327,211,val,160,143,warped
137,57,208,val,160,144,warped
138,73,214,val,160,145,warped
139,89,210,val,160,146,warped
140,104,200,val,160,147,warped
141,120,199,val,160,148,warped
142,136,198,val,160,149,warped
143,150,195,val,160,150,warped
144,161,188,val,160,151,warped
145,178,182,val,160,152,warped
146,223,191,val,160,154,warped
147,231,197,val,160,155,warped
148,246,196,val,160,156,warped
149,262,203,val,160,157,warped
150,279,201,val,160,158,warped
151,295,202,val,160,159,warped
152,311,200,val,160,160,warped
153,327,197,val,160,161,warped
154,57,187,val,160,162,warped
155,73,188,val,160,163,warped
156,89,185,val,160,164,warped
157,105,180,val,160,165,warped
158,121,175,val,160,166,warped
159,136,171,val,160,167,warped
160,151,170,val,160,168,warped
161,161,168,val,160,169,warped
162,180,159,val,160,170,warped
163,223,170,val,160,172,warped
164,231,172,val,160,173,warped
165,245,175,val,160,174,warped
166,262,184,val,160,175,warped
167,278,185,val,160,176,warped
168,295,188,val,160,177,warped
169,311,188,val,160,178,warped
170,326,184,val,160,179,warped
171,58,152,val,160,180,warped
172,75,148,val,160,181,warped
173,91,150,val,160,182,warped
174,106,153,val,160,183,warped
175,121,152,val,160,184,warped
176,135,148,val,160,185,warped
177,151,146,val,160,186,warped
178,162,163,val,160,187,warped
179,222,160,val,160,190,warped
180,230,152,val,160,191,warped
181,246,155,val,160,192,warped
182,261,158,val,160,193,warped
183,279,163,val,160,194,warped
184,295,168,val,160,195,warped
185,311,169,val,160,196,warped
186,327,168,val,160,197,warped
187,59,127,val,160,198,warped
188,74,124,val,160,199,warped
189,91,126,val,160,200,warped
190,106,145,val,160,201,warped
191,121,145,val,160,202,warped
192,135,144,val,160,203,warped
193,149,142,val,160,204,warped
194,163,147,val,160,205,warped
195,223,145,val,160,208,warped
196,229,147,val,160,209,warped
197,245,147,val,160,210,warped
198,262,134,val,160,211,warped
199,278,141,val,160,212,warped
200,296,145,val,160,213,warped
201,312,144,val,160,214,warped
