,x,y,Set,Image,Point,Type
0,57,320,val,160,0,warped
1,73,323,val,160,1,warped
2,88,327,val,160,2,warped
3,103,329,val,160,3,warped
4,119,330,val,160,4,warped
5,136,328,val,160,5,warped
6,151,326,val,160,6,warped
7,166,327,val,160,7,warped
8,184,328,val,160,8,warped
9,200,328,val,160,9,warped
10,215,323,val,160,10,warped
11,232,324,val,160,11,warped
12,246,328,val,160,12,warped
13,260,328,val,160,13,warped
14,277,329,val,160,14,warped
15,297,328,val,160,15,warped
16,315,326,val,160,16,warped
17,331,325,val,160,17,warped
18,58,305,val,160,18,warped
19,73,303,val,160,19,warped
20,89,310,val,160,20,warped
21,102,312,val,160,21,warped
22,119,311,val,160,22,warped
23,135,310,val,160,23,warped
24,148,308,val,160,24,warped
25,165,309,val,160,25,warped
26,180,313,val,160,26,warped
27,201,310,val,160,27,warped
28,215,308,val,160,28,warped
29,230,312,val,160,29,warped
30,247,309,val,160,30,warped
31,260,310,val,160,31,warped
32,279,308,val,160,32,warped
33,296,307,val,160,33,warped
34,314,308,val,160,34,warped
35,330,308,val,160,35,warped
36,58,289,val,160,36,warped
37,89,296,val,160,38,warped
38,104,301,val,160,39,warped
39,118,298,val,160,40,warped
40,134,295,val,160,41,warped
41,149,293,val,160,42,warped
42,165,292,val,160,43,warped
43,180,297,val,160,44,warped
44,202,293,val,160,45,warped
45,215,290,val,160,46,warped
46,229,298,val,160,47,warped
47,245,293,val,160,48,warped
48,261,294,val,160,49,warped
49,281,293,val,160,50,warped
50,297,292,val,160,51,warped
51,313,292,val,160,52,warped
52,330,292,val,160,53,warped
53,105,285,val,160,57,warped
54,119,282,val,160,58,warped
55,133,280,val,160,59,warped
56,148,278,val,160,60,warped
57,165,278,val,160,61,warped
58,184,282,val,160,62,warped
59,201,280,val,160,63,warped
60,216,279,val,160,64,warped
61,229,283,val,160,65,warped
62,245,280,val,160,66,warped
63,263,278,val,160,67,warped
64,280,278,val,160,68,warped
65,298,277,val,160,69,warped
66,313,276,val,160,70,warped
67,331,276,val,160,71,warped
68,59,275,val,160,72,warped
69,72,275,val,160,73,warped
70,88,275,val,160,74,warped
71,104,271,val,160,75,warped
72,120,268,val,160,76,warped
73,135,265,val,160,77,warped
74,150,263,val,160,78,warped
75,166,265,val,160,79,warped
76,185,271,val,160,80,warped
77,200,270,val,160,81,warped
78,216,269,val,160,82,warped
79,231,270,val,160,83,warped
80,245,267,val,160,84,warped
81,262,265,val,160,85,warped
82,280,265,val,160,86,warped
83,297,265,val,160,87,warped
84,313,265,val,160,88,warped
85,331,264,val,160,89,warped
86,59,261,val,160,90,warped
87,73,262,val,160,91,warped
88,88,260,val,160,92,warped
89,105,256,val,160,93,warped
90,119,254,val,160,94,warped
91,134,253,val,160,95,warped
92,150,253,val,160,96,warped
93,168,259,val,160,97,warped
94,185,261,val,160,98,warped
95,199,254,val,160,99,warped
96,216,258,val,160,100,warped
97,231,260,val,160,101,warped
98,245,256,val,160,102,warped
99,263,254,val,160,103,warped
100,281,254,val,160,104,warped
101,299,253,val,160,105,warped
102,313,251,val,160,106,warped
103,332,250,val,160,107,warped
104,59,247,val,160,108,warped
105,73,245,val,160,109,warped
106,89,244,val,160,110,warped
107,104,245,val,160,111,warped
108,119,247,val,160,112,warped
109,134,242,val,160,113,warped
110,149,244,val,160,114,warped
111,167,245,val,160,115,warped
112,183,245,val,160,116,warped
113,216,239,val,160,118,warped
114,231,244,val,160,119,warped
115,247,245,val,160,120,warped
116,264,244,val,160,121,warped
117,283,243,val,160,122,warped
118,298,241,val,160,123,warped
119,313,236,val,160,124,warped
120,331,235,val,160,125,warped
121,58,235,val,160,126,warped
122,73,233,val,160,127,warped
123,90,231,val,160,128,warped
124,104,229,val,160,129,warped
125,119,228,val,160,130,warped
126,135,225,val,160,131,warped
127,148,228,val,160,132,warped
128,167,228,val,160,133,warped
129,182,227,val,160,134,warped
130,232,227,val,160,137,warped
131,248,226,val,160,138,warped
132,264,228,val,160,139,warped
133,282,232,val,160,140,warped
134,297,230,val,160,141,warped
135,313,225,val,160,142,warped
136,329,223,val,160,143,warped
137,57,210,val,160,144,warped
138,73,209,val,160,145,warped
139,89,210,val,160,146,warped
140,104,210,val,160,147,warped
141,119,208,val,160,148,warped
142,134,206,val,160,149,warped
143,150,206,val,160,150,warped
144,167,207,val,160,151,warped
145,184,200,val,160,152,warped
146,218,205,val,160,154,warped
147,233,205,val,160,155,warped
148,250,206,val,160,156,warped
149,266,209,val,160,157,warped
150,280,209,val,160,158,warped
151,297,211,val,160,159,warped
152,313,209,val,160,160,warped
153,329,208,val,160,161,warped
154,57,189,val,160,162,warped
155,73,190,val,160,163,warped
156,89,188,val,160,164,warped
157,103,189,val,160,165,warped
158,120,189,val,160,166,warped
159,134,188,val,160,167,warped
160,151,188,val,160,168,warped
161,170,183,val,160,169,warped
162,186,174,val,160,170,warped
163,220,181,val,160,172,warped
164,235,183,val,160,173,warped
165,251,184,val,160,174,warped
166,266,185,val,160,175,warped
167,282,188,val,160,176,warped
168,298,188,val,160,177,warped
169,313,187,val,160,178,warped
170,329,185,val,160,179,warped
171,56,169,val,160,180,warped
172,73,170,val,160,181,warped
173,89,171,val,160,182,warped
174,102,170,val,160,183,warped
175,120,171,val,160,184,warped
176,135,169,val,160,185,warped
177,151,167,val,160,186,warped
178,169,161,val,160,187,warped
179,219,161,val,160,190,warped
180,235,160,val,160,191,warped
181,252,162,val,160,192,warped
182,266,162,val,160,193,warped
183,280,165,val,160,194,warped
184,296,166,val,160,195,warped
185,314,165,val,160,196,warped
186,330,164,val,160,197,warped
187,57,150,val,160,198,warped
188,72,151,val,160,199,warped
189,87,152,val,160,200,warped
190,101,150,val,160,201,warped
191,120,149,val,160,202,warped
192,135,146,val,160,203,warped
193,152,143,val,160,204,warped
194,171,139,val,160,205,warped
195,219,140,val,160,208,warped
196,236,140,val,160,209,warped
197,254,141,val,160,210,warped
198,265,141,val,160,211,warped
199,280,145,val,160,212,warped
200,298,147,val,160,213,warped
201,314,147,val,160,214,warped
202,330,145,val,160,215,warped
203,56,129,val,160,216,warped
204,70,129,val,160,217,warped
205,87,129,val,160,218,warped
206,102,127,val,160,219,warped
207,118,125,val,160,220,warped
208,134,127,val,160,221,warped
209,151,128,val,160,222,warped
210,171,122,val,160,223,warped
211,219,127,val,160,226,warped
212,235,122,val,160,227,warped
213,254,124,val,160,228,warped
214,265,125,val,160,229,warped
215,282,126,val,160,230,warped
216,299,128,val,160,231,warped
217,314,129,val,160,232,warped
218,332,128,val,160,233,warped
219,56,110,val,160,234,warped
220,70,110,val,160,235,warped
221,86,114,val,160,236,warped
222,101,114,val,160,237,warped
223,118,113,val,160,238,warped
224,133,112,val,160,239,warped
225,152,112,val,160,240,warped
226,170,108,val,160,241,warped
227,219,114,val,160,244,warped
228,235,111,val,160,245,warped
229,253,110,val,160,246,warped
230,266,109,val,160,247,warped
231,281,111,val,160,248,warped
232,299,113,val,160,249,warped
233,316,113,val,160,250,warped
234,332,113,val,160,251,warped
235,55,97,val,160,252,warped
236,71,94,val,160,253,warped
237,86,97,val,160,254,warped
238,102,99,val,160,255,warped
239,117,100,val,160,256,warped
240,131,102,val,160,257,warped
241,151,99,val,160,258,warped
242,168,91,val,160,259,warped
243,220,102,val,160,262,warped
244,234,98,val,160,263,warped
245,250,97,val,160,264,warped
246,265,97,val,160,265,warped
247,282,98,val,160,266,warped
248,300,98,val,160,267,warped
249,315,98,val,160,268,warped
250,333,96,val,160,269,warped
251,55,82,val,160,270,warped
252,70,80,val,160,271,warped
253,86,83,val,160,272,warped
254,101,84,val,160,273,warped
255,117,87,val,160,274,warped
256,130,86,val,160,275,warped
257,149,84,val,160,276,warped
258,168,73,val,160,277,warped
259,222,87,val,160,280,warped
260,235,84,val,160,281,warped
261,247,83,val,160,282,warped
262,263,85,val,160,283,warped
263,280,85,val,160,284,warped
264,299,84,val,160,285,warped
265,315,85,val,160,286,warped
266,334,84,val,160,287,warped
267,52,69,val,160,288,warped
268,71,65,val,160,289,warped
269,86,69,val,160,290,warped
270,101,70,val,160,291,warped
271,116,70,val,160,292,warped
272,131,69,val,160,293,warped
273,149,66,val,160,294,warped
274,221,73,val,160,298,warped
275,235,69,val,160,299,warped
276,247,65,val,160,300,warped
277,263,69,val,160,301,warped
278,279,69,val,160,302,warped
279,298,70,val,160,303,warped
280,314,69,val,160,304,warped
281,331,68,val,160,305,warped
