,x,y,Set,Image,Point
0,59,330,val,160,0
1,75,327,val,160,1
2,86,328,val,160,2
3,104,331,val,160,3
4,120,331,val,160,4
5,135,329,val,160,5
6,147,330,val,160,6
7,167,331,val,160,7
8,186,334,val,160,8
9,211,329,val,160,9
10,228,325,val,160,10
11,238,330,val,160,11
12,254,333,val,160,12
13,267,331,val,160,13
14,283,330,val,160,14
15,298,332,val,160,15
16,312,330,val,160,16
17,329,329,val,160,17
18,59,311,val,160,18
19,75,305,val,160,19
20,89,311,val,160,20
21,105,314,val,160,21
22,122,313,val,160,22
23,136,312,val,160,23
24,149,311,val,160,24
25,170,313,val,160,25
26,190,315,val,160,26
27,209,310,val,160,27
28,226,307,val,160,28
29,241,318,val,160,29
30,255,315,val,160,30
31,269,315,val,160,31
32,282,313,val,160,32
33,298,310,val,160,33
34,313,308,val,160,34
35,329,308,val,160,35
36,60,295,val,160,36
37,89,296,val,160,38
38,106,298,val,160,39
39,124,298,val,160,40
40,138,296,val,160,41
41,150,297,val,160,42
42,167,298,val,160,43
43,187,299,val,160,44
44,208,288,val,160,45
45,225,288,val,160,46
46,239,302,val,160,47
47,256,301,val,160,48
48,272,299,val,160,49
49,284,295,val,160,50
50,297,292,val,160,51
51,313,291,val,160,52
52,330,288,val,160,53
53,107,283,val,160,57
54,124,283,val,160,58
55,137,283,val,160,59
56,149,282,val,160,60
57,167,281,val,160,61
58,187,282,val,160,62
59,205,275,val,160,63
60,221,276,val,160,64
61,240,287,val,160,65
62,258,286,val,160,66
63,274,284,val,160,67
64,283,279,val,160,68
65,297,276,val,160,69
66,311,273,val,160,70
67,329,272,val,160,71
68,59,274,val,160,72
69,74,269,val,160,73
70,92,269,val,160,74
71,108,269,val,160,75
72,123,268,val,160,76
73,136,269,val,160,77
74,147,267,val,160,78
75,168,266,val,160,79
76,187,268,val,160,80
77,203,265,val,160,81
78,222,264,val,160,82
79,239,271,val,160,83
80,258,271,val,160,84
81,273,268,val,160,85
82,281,263,val,160,86
83,296,263,val,160,87
84,311,260,val,160,88
85,326,261,val,160,89
86,59,256,val,160,90
87,75,253,val,160,91
88,92,254,val,160,92
89,108,255,val,160,93
90,123,254,val,160,94
91,136,255,val,160,95
92,150,255,val,160,96
93,169,259,val,160,97
94,187,260,val,160,98
95,202,247,val,160,99
96,221,251,val,160,100
97,240,259,val,160,101
98,258,257,val,160,102
99,270,254,val,160,103
100,282,251,val,160,104
101,295,248,val,160,105
102,312,248,val,160,106
103,328,249,val,160,107
104,57,241,val,160,108
105,75,240,val,160,109
106,92,242,val,160,110
107,108,242,val,160,111
108,122,247,val,160,112
109,135,247,val,160,113
110,152,243,val,160,114
111,170,242,val,160,115
112,185,239,val,160,116
113,219,231,val,160,118
114,240,242,val,160,119
115,259,247,val,160,120
116,270,242,val,160,121
117,281,240,val,160,122
118,296,237,val,160,123
119,312,236,val,160,124
120,329,238,val,160,125
121,59,228,val,160,126
122,75,229,val,160,127
123,93,229,val,160,128
124,106,228,val,160,129
