,x,y,Set,Image,Point
0,54,334,val,160,0
1,73,332,val,160,1
2,91,332,val,160,2
3,105,334,val,160,3
4,120,334,val,160,4
5,137,334,val,160,5
6,151,335,val,160,6
7,171,339,val,160,7
8,192,341,val,160,8
9,207,337,val,160,9
10,221,334,val,160,10
11,240,333,val,160,11
12,257,335,val,160,12
13,273,335,val,160,13
14,284,332,val,160,14
15,296,330,val,160,15
16,311,328,val,160,16
17,329,325,val,160,17
18,56,316,val,160,18
19,73,312,val,160,19
20,93,315,val,160,20
21,107,317,val,160,21
22,123,315,val,160,22
23,138,315,val,160,23
24,153,317,val,160,24
25,173,321,val,160,25
26,191,324,val,160,26
27,206,320,val,160,27
28,221,315,val,160,28
29,239,320,val,160,29
30,257,318,val,160,30
31,271,316,val,160,31
32,283,313,val,160,32
33,299,310,val,160,33
34,314,306,val,160,34
35,331,304,val,160,35
36,56,304,val,160,36
37,89,303,val,160,38
38,106,305,val,160,39
39,123,302,val,160,40
40,138,301,val,160,41
41,153,303,val,160,42
42,173,306,val,160,43
43,191,309,val,160,44
44,206,303,val,160,45
45,220,296,val,160,46
46,237,304,val,160,47
47,253,299,val,160,48
48,269,296,val,160,49
49,282,294,val,160,50
50,299,289,val,160,51
51,315,286,val,160,52
52,331,283,val,160,53
53,104,289,val,160,57
54,122,287,val,160,58
55,138,289,val,160,59
56,154,290,val,160,60
57,174,294,val,160,61
58,190,295,val,160,62
59,205,286,val,160,63
60,219,282,val,160,64
61,236,286,val,160,65
62,252,280,val,160,66
63,268,277,val,160,67
64,283,275,val,160,68
65,298,271,val,160,69
66,315,267,val,160,70
67,330,262,val,160,71
68,54,289,val,160,72
69,74,285,val,160,73
70,88,280,val,160,74
71,105,276,val,160,75
72,122,274,val,160,76
73,139,274,val,160,77
74,155,277,val,160,78
75,173,279,val,160,79
76,190,280,val,160,80
77,205,272,val,160,81
78,219,270,val,160,82
79,237,270,val,160,83
80,252,266,val,160,84
81,268,261,val,160,85
82,281,259,val,160,86
83,298,255,val,160,87
84,314,250,val,160,88
85,330,247,val,160,89
86,55,273,val,160,90
87,73,269,val,160,91
88,90,266,val,160,92
89,105,263,val,160,93
90,121,261,val,160,94
91,138,261,val,160,95
92,155,263,val,160,96
93,173,264,val,160,97
94,189,264,val,160,98
95,204,252,val,160,99
96,219,254,val,160,100
97,236,257,val,160,101
98,253,253,val,160,102
99,267,247,val,160,103
100,282,243,val,160,104
101,298,240,val,160,105
102,313,235,val,160,106
103,328,233,val,160,107
104,55,256,val,160,108
105,72,255,val,160,109
106,88,252,val,160,110
107,104,251,val,160,111
108,121,249,val,160,112
109,136,246,val,160,113
110,152,245,val,160,114
111,171,243,val,160,115
112,187,243,val,160,116
113,219,235,val,160,118
114,238,240,val,160,119
115,253,238,val,160,120
116,267,234,val,160,121
117,283,229,val,160,122
118,297,225,val,160,123
119,314,221,val,160,124
120,328,217,val,160,125
121,56,241,val,160,126
122,73,240,val,160,127
123,88,235,val,160,128
124,104,231,val,160,129
125,120,227,val,160,130
126,136,225,val,160,131
127,152,225,val,160,132
128,170,225,val,160,133
129,186,224,val,160,134
130,236,220,val,160,137
131,253,218,val,160,138
132,266,218,val,160,139
133,283,216,val,160,140
134,297,212,val,160,141
135,313,207,val,160,142
136,328,205,val,160,143
137,54,213,val,160,144
138,72,212,val,160,145
139,88,212,val,160,146
140,104,211,val,160,147
141,120,209,val,160,148
142,135,206,val,160,149
143,151,206,val,160,150
144,169,206,val,160,151
145,185,202,val,160,152
146,218,207,val,160,154
147,235,201,val,160,155
148,252,201,val,160,156
149,268,200,val,160,157
150,281,198,val,160,158
151,295,197,val,160,159
152,312,193,val,160,160
153,329,193,val,160,161
154,56,194,val,160,162
155,72,194,val,160,163
156,88,194,val,160,164
157,103,193,val,160,165
158,120,192,val,160,166
159,134,189,val,160,167
160,151,186,val,160,168
161,168,184,val,160,169
162,184,181,val,160,170
163,215,183,val,160,172
164,235,182,val,160,173
165,251,182,val,160,174
166,266,181,val,160,175
167,281,182,val,160,176
168,296,181,val,160,177
169,312,179,val,160,178
170,328,175,val,160,179
171,56,177,val,160,180
172,73,177,val,160,181
173,87,176,val,160,182
174,103,173,val,160,183
175,119,171,val,160,184
176,135,170,val,160,185
177,150,169,val,160,186
178,167,167,val,160,187
179,212,166,val,160,190
180,231,163,val,160,191
181,250,162,val,160,192
182,264,163,val,160,193
183,280,164,val,160,194
184,296,163,val,160,195
185,313,161,val,160,196
186,328,159,val,160,197
187,57,159,val,160,198
188,73,159,val,160,199
189,89,158,val,160,200
190,104,155,val,160,201
191,120,152,val,160,202
192,134,150,val,160,203
193,149,149,val,160,204
194,166,148,val,160,205
195,209,145,val,160,208
196,231,143,val,160,209
197,248,144,val,160,210
198,264,145,val,160,211
199,280,145,val,160,212
200,296,145,val,160,213
201,312,144,val,160,214
202,327,142,val,160,215
203,58,141,val,160,216
204,73,139,val,160,217
205,88,138,val,160,218
206,103,137,val,160,219
207,119,134,val,160,220
208,133,134,val,160,221
209,149,136,val,160,222
210,164,135,val,160,223
211,210,131,val,160,226
212,229,124,val,160,227
213,247,123,val,160,228
214,261,125,val,160,229
215,279,128,val,160,230
216,295,129,val,160,231
217,311,129,val,160,232
218,327,126,val,160,233
219,57,123,val,160,234
220,73,121,val,160,235
221,89,120,val,160,236
222,104,120,val,160,237
223,117,119,val,160,238
224,132,119,val,160,239
225,148,122,val,160,240
226,163,120,val,160,241
227,209,118,val,160,244
228,228,113,val,160,245
229,246,110,val,160,246
230,260,108,val,160,247
231,278,110,val,160,248
232,294,112,val,160,249
233,310,113,val,160,250
234,326,113,val,160,251
235,57,107,val,160,252
236,72,103,val,160,253
237,89,104,val,160,254
238,102,105,val,160,255
239,118,105,val,160,256
240,131,105,val,160,257
241,146,105,val,160,258
242,162,104,val,160,259
243,208,103,val,160,262
244,227,101,val,160,263
245,244,97,val,160,264
246,258,96,val,160,265
247,275,97,val,160,266
248,293,96,val,160,267
249,309,98,val,160,268
250,325,96,val,160,269
251,57,91,val,160,270
252,72,87,val,160,271
253,88,89,val,160,272
254,101,88,val,160,273
255,116,90,val,160,274
256,130,90,val,160,275
257,146,91,val,160,276
258,161,87,val,160,277
259,206,90,val,160,280
260,226,86,val,160,281
261,241,83,val,160,282
262,256,85,val,160,283
263,274,84,val,160,284
264,292,84,val,160,285
265,308,84,val,160,286
266,326,82,val,160,287
267,57,76,val,160,288
268,71,70,val,160,289
269,86,73,val,160,290
270,102,73,val,160,291
271,115,73,val,160,292
272,129,74,val,160,293
273,145,74,val,160,294
