,x,y,Set,Image,Point,Type
0,54,334,val,160,0,warped
1,73,332,val,160,1,warped
2,91,332,val,160,2,warped
3,105,334,val,160,3,warped
4,120,334,val,160,4,warped
5,137,334,val,160,5,warped
6,151,335,val,160,6,warped
7,171,339,val,160,7,warped
8,192,341,val,160,8,warped
9,207,337,val,160,9,warped
10,221,334,val,160,10,warped
11,240,333,val,160,11,warped
12,257,335,val,160,12,warped
13,273,335,val,160,13,warped
14,284,332,val,160,14,warped
15,296,330,val,160,15,warped
16,311,328,val,160,16,warped
17,329,325,val,160,17,warped
18,56,316,val,160,18,warped
19,73,312,val,160,19,warped
20,93,315,val,160,20,warped
21,107,317,val,160,21,warped
22,123,315,val,160,22,warped
23,138,315,val,160,23,warped
24,153,317,val,160,24,warped
25,173,321,val,160,25,warped
26,191,324,val,160,26,warped
27,206,320,val,160,27,warped
28,221,315,val,160,28,warped
29,239,320,val,160,29,warped
30,257,318,val,160,30,warped
31,271,316,val,160,31,warped
32,283,313,val,160,32,warped
33,299,310,val,160,33,warped
34,314,306,val,160,34,warped
35,331,304,val,160,35,warped
36,56,304,val,160,36,warped
37,89,303,val,160,38,warped
38,106,305,val,160,39,warped
39,123,302,val,160,40,warped
40,138,301,val,160,41,warped
41,153,303,val,160,42,warped
42,173,306,val,160,43,warped
43,191,309,val,160,44,warped
44,206,303,val,160,45,warped
45,220,296,val,160,46,warped
46,237,304,val,160,47,warped
47,253,299,val,160,48,warped
48,269,296,val,160,49,warped
49,282,294,val,160,50,warped
50,299,289,val,160,51,warped
51,315,286,val,160,52,warped
52,331,283,val,160,53,warped
53,104,289,val,160,57,warped
54,122,287,val,160,58,warped
55,138,289,val,160,59,warped
56,154,290,val,160,60,warped
57,174,294,val,160,61,warped
58,190,295,val,160,62,warped
59,205,286,val,160,63,warped
60,219,282,val,160,64,warped
61,236,286,val,160,65,warped
62,252,280,val,160,66,warped
63,268,277,val,160,67,warped
64,283,275,val,160,68,warped
65,298,271,val,160,69,warped
66,315,267,val,160,70,warped
67,330,262,val,160,71,warped
68,54,289,val,160,72,warped
69,74,285,val,160,73,warped
70,88,280,val,160,74,warped
71,105,276,val,160,75,warped
72,122,274,val,160,76,warped
73,139,274,val,160,77,warped
74,155,277,val,160,78,warped
75,173,279,val,160,79,warped
76,190,280,val,160,80,warped
77,205,272,val,160,81,warped
78,219,270,val,160,82,warped
79,237,270,val,160,83,warped
80,252,266,val,160,84,warped
81,268,261,val,160,85,warped
82,281,259,val,160,86,warped
83,298,255,val,160,87,warped
84,314,250,val,160,88,warped
85,330,247,val,160,89,warped
86,55,273,val,160,90,warped
87,73,269,val,160,91,warped
88,90,266,val,160,92,warped
89,105,263,val,160,93,warped
90,121,261,val,160,94,warped
91,138,261,val,160,95,warped
92,155,263,val,160,96,warped
93,173,264,val,160,97,warped
94,189,264,val,160,98,warped
95,204,252,val,160,99,warped
96,219,254,val,160,100,warped
97,236,257,val,160,101,warped
98,253,253,val,160,102,warped
99,267,247,val,160,103,warped
100,282,243,val,160,104,warped
101,298,240,val,160,105,warped
102,313,235,val,160,106,warped
103,328,233,val,160,107,warped
104,55,256,val,160,108,warped
105,72,255,val,160,109,warped
106,88,252,val,160,110,warped
107,104,251,val,160,111,warped
108,121,249,val,160,112,warped
109,136,246,val,160,113,warped
110,152,245,val,160,114,warped
111,171,243,val,160,115,warped
112,187,243,val,160,116,warped
113,219,235,val,160,118,warped
114,238,240,val,160,119,warped
115,253,238,val,160,120,warped
116,267,234,val,160,121,warped
117,283,229,val,160,122,warped
118,297,225,val,160,123,warped
119,314,221,val,160,124,warped
120,328,217,val,160,125,warped
121,56,241,val,160,126,warped
122,73,240,val,160,127,warped
123,88,235,val,160,128,warped
124,104,231,val,160,129,warped
125,120,227,val,160,130,warped
126,136,225,val,160,131,warped
127,152,225,val,160,132,warped
128,170,225,val,160,133,warped
129,186,224,val,160,134,warped
130,236,220,val,160,137,warped
131,253,218,val,160,138,warped
132,266,218,val,160,139,warped
133,283,216,val,160,140,warped
134,297,212,val,160,141,warped
