,x,y,Set,Image,Point,Type
0,57,333,val,160,0,warped
1,75,331,val,160,1,warped
2,91,331,val,160,2,warped
3,107,332,val,160,3,warped
4,123,332,val,160,4,warped
5,141,331,val,160,5,warped
6,157,333,val,160,6,warped
7,172,332,val,160,7,warped
8,187,335,val,160,8,warped
9,202,333,val,160,9,warped
10,219,328,val,160,10,warped
11,236,329,val,160,11,warped
12,250,331,val,160,12,warped
13,264,330,val,160,13,warped
14,279,331,val,160,14,warped
15,296,335,val,160,15,warped
16,313,335,val,160,16,warped
17,329,335,val,160,17,warped
18,57,315,val,160,18,warped
19,75,309,val,160,19,warped
20,90,315,val,160,20,warped
21,106,317,val,160,21,warped
22,125,317,val,160,22,warped
23,143,318,val,160,23,warped
24,158,319,val,160,24,warped
25,173,322,val,160,25,warped
26,188,324,val,160,26,warped
27,203,320,val,160,27,warped
28,221,311,val,160,28,warped
29,236,316,val,160,29,warped
30,251,313,val,160,30,warped
31,265,311,val,160,31,warped
32,281,313,val,160,32,warped
33,298,312,val,160,33,warped
34,314,312,val,160,34,warped
35,330,311,val,160,35,warped
36,56,298,val,160,36,warped
37,89,301,val,160,38,warped
38,107,304,val,160,39,warped
39,126,305,val,160,40,warped
40,144,306,val,160,41,warped
41,160,307,val,160,42,warped
42,174,312,val,160,43,warped
43,186,311,val,160,44,warped
44,202,297,val,160,45,warped
45,220,289,val,160,46,warped
46,235,300,val,160,47,warped
47,251,297,val,160,48,warped
48,266,294,val,160,49,warped
49,283,295,val,160,50,warped
50,298,294,val,160,51,warped
51,316,294,val,160,52,warped
52,331,292,val,160,53,warped
53,106,291,val,160,57,warped
54,126,292,val,160,58,warped
55,144,295,val,160,59,warped
56,158,296,val,160,60,warped
57,172,295,val,160,61,warped
58,185,291,val,160,62,warped
59,201,277,val,160,63,warped
60,217,272,val,160,64,warped
61,235,282,val,160,65,warped
62,251,279,val,160,66,warped
63,268,278,val,160,67,warped
64,282,277,val,160,68,warped
65,299,277,val,160,69,warped
66,315,277,val,160,70,warped
67,332,275,val,160,71,warped
68,57,286,val,160,72,warped
69,75,285,val,160,73,warped
70,92,281,val,160,74,warped
71,109,278,val,160,75,warped
72,126,276,val,160,76,warped
73,143,280,val,160,77,warped
74,157,279,val,160,78,warped
75,171,274,val,160,79,warped
76,184,270,val,160,80,warped
77,199,256,val,160,81,warped
78,217,256,val,160,82,warped
79,234,263,val,160,83,warped
80,250,262,val,160,84,warped
